Наименование,Изображение,Цена,Остаток,Упаковка,Описание,Заказ
"7,5,6 - Перчатки 7,5 класс (6 нитей) с ПВХ (С)",,"19,2",11403,"Количество: 300 пар
Вес: 21 кг
Объем: 0.125 м","Вес(грамм): 64-65
Плотность(текс): 266
Длина(см): 22,5-23,5",
"7,5,6 - Перчатки 7,5 класс (6 нитей) ХБ (С)",,"17,2",1700,"Количество: 300 пар
Вес: 20.5 кг
Объем: 0.12 м","Вес(грамм): 58-59
Плотность(текс): 266
Длина(см): 22,5-23,5 ",
"7,5,6 - Перчатки 7,5 класс (6 нитей) черные с ПВХ (С)",,"18,7",2958,"Количество: 300 пар
Вес: 21 кг
Объем: 0.125 м","Вес(грамм): 65-66
Плотность(текс): 266
Длина(см): 22,5-23,5",
"7,5,7 - Перчатки 7,5 класс (7 нитей) черные с ПВХ (С)",,"21,9",97,"Количество: 300 пар
Вес: 24.94 кг
Объем: 0.14 м","Вес(грамм): 77-78
Плотность(текс): 316
Длина(см): 22,5-23,5",
Перчатки трикотажные с 1-ым латексным обливом (Желтые) ИУ (300 пар),,"20,4",300,"Количество: 300 пар
Вес: 14.9 кг
Объем: 0.1 м",,
Перчатки трикотажные с 1-ым латексным обливом (Желтые) уп.300 пар (С),,19,6105,"Количество: 300 пар
Вес: 12.7 кг
Объем: 0.1 м","Основа: ХБ перчатка 13 или 10 класса 
Покрытие: латекс (один слой)
Предназначены для работ со скользкими и гладкими поверхностями .
Спектр применения таких перчаток чрезвычайно широк: на любом производстве, на складе, в быту, для ремонта и строительства, для погрузо-разгрузочных работ.",
Перчатки трикотажные с 2-ым латексным обливом (Зеленые) арт.ЛТ-37 ИУ (300 пар),,"20,4",2550,"Количество: 300 пар
Вес: 14.2 кг
Объем: 0.1 м",,
Перчатки трикотажные с 2-ым латексным обливом (Зеленые) арт.ЛТ-37 уп.300 пар,,19,45401,"Количество: 300 пар
Вес: 14.15 кг
Объем: 0.1 м",,
Перчатки трикотажные с 2-ым латексным обливом (Зеленые) уп.300 пар (С),,"20,9",6725,"Количество: 300 пар
Вес: 14.9 кг
Объем: 0.1 м","Основа: ХБ перчатка 1
Покрытие: латекс (два слоя)
Предназначены для работ со скользкими и гладкими поверхностями.
Спектр применения таких перчаток чрезвычайно широк: на любом производстве, на складе, в быту, для ремонта и строительства, для погрузо-разгрузочных работ.",
Перчатки трикотажные с 2-ым латексным обливом (Красные) ИУ (300 пар),,"22,3",19,"Количество: 300 пар
Вес: 14.9 кг
Объем: 0.1 м",,
