Наименование,Изображение,Цена,Остаток,Упаковка,Описание,Заказ
БН-02 Рукавицы х/б аппрет. пл.200гр.(арт.104) с брез.нал. (арт.11135) + п/н миткаль пл.62гр.,,"32,5",300,"Количество: 400 пар
Вес: 24 кг
Объем: 0.115 м","Основа:   х/б двунитка  суровая пл.220
Наладонник: брезент пл.400 гр
Подналадонник: миткаль",
БН-04 Рукавицы х/б аппрет. пл.200гр.(арт.104) с брез.нал. (арт.11135) + п/н миткаль пл.62гр.,,"33,1",90,"Количество: 400 пар
Вес: 25 кг
Объем: 0.115 м","Основа:   х/б двунитка апретированная пл.220
Наладонник: брезент пл.400 гр
Подналадонник: миткаль",
ХБ-01 Рукавицы х/б аппрет. пл.200гр.(арт.104) + п/н миткаль пл.62гр.,,"30,5",1860,"Количество: 400 пар
Вес: 22 кг
Объем: 0.102 м","Основа: х/б двунитка аппретированная пл.220
Наладонник:   х/б двунитка аппретированная пл.220 гр. 
Подналадонник: миткаль",
ХБ-02 Рукавицы х/б аппрет. пл.200гр.(арт.104) + п/н х/б пл.165гр.,,"31,7",1849,"Количество: 400 пар
Вес: 24 кг
Объем: 0.102 м","Основа: х/б двунитка суровая пл.210
Наладонник:   х/б двунитка суровая пл.200 гр. 
Подналадонник: х/б двунитка суровая пл. 210",
Вафельное полотно отб. пл.120 ш.80 (50м) (ВО80-5),,"47,4",200,"Количество: 300 шт
Вес: 19.2 кг
Объем: 0.07 м",,
Вафельное полотно отб. пл.120 ш.40 (60м) (ВО40-4),,23,60,"Количество: 360 шт
Вес: 14.7 кг
Объем: 0.07 м",,
Вафельное полотно отб. пл.150 ш.45 (60м) (В045-2Б),,"35,6",2880,"Количество: 360 шт
Вес: 22 кг
Объем: 0.12 м",,
Вафельное полотно отб. пл.150 ш.45 (60м) (ВО45-2),,"33,6",1980,"Количество: 360 шт
Вес: 21.6 кг
Объем: 0.102 м",,
Вафельное полотно отб. пл.200 ш.45 (60м) (ВО45-3),,45,660,"Количество: 240 шт
Вес: 21 кг
Объем: 0.3007 м",,
Вафельное полотно пл.150 ш.45 (60м) (ВО45-2 КОМБ),,"31,1",300,"Количество: 360 шт
Вес: 14.7 кг
Объем: 0.075 м",,
Ветошь белая (Бел) (арт. 01),,"211,3",440,"Количество: 10 шт
Вес: 10 кг
Объем: 0.04 м",,
Ветошь коттон цветной (Бел) (арт. 33),,"138,5",180,"Количество: 10 шт
Вес: 10 кг
Объем: 0.04 м",,
Ветошь постель цветная (Бел) (арт. 08),,"172,8",470,"Количество: 10 шт
Вес: 10 кг
Объем: 0.04 м",,
Ветошь трикотаж светлый (цветной) (Бел) (арт. 04),,"162,6",50,"Количество: 10 шт
Вес: 10 кг
Объем: 0.04 м",,
Ветошь трикотаж цветной (первый сорт) (Бел) (арт. 31),,"142,5",1170,"Количество: 10 шт
Вес: 10 кг
Объем: 0.04 м",,
Ветошь коттон цветной (Импорт) (арт. 33),,"137,5",120,"Количество: 10 шт
Вес: 10 кг
Объем: 0.04 м",,
Ветошь махра цветная (Импорт) (арт. 07),,233,200,"Количество: 10 шт
Вес: 10 кг
Объем: 0.04 м",,
Ветошь постель цветная (Импорт) (арт. 08),,"179,3",210,"Количество: 10 шт
Вес: 10 кг
Объем: 0.04 м",,
Ветошь трикотаж светлый (цветной) (Импорт) (арт. 04),,"155,6",710,"Количество: 10 шт
Вес: 10 кг
Объем: 0.04 м",,
Ветошь трикотаж цветной (первый сорт) (Импорт) (арт. 31),,"147,7",340,"Количество: 10 шт
Вес: 10 кг
Объем: 0.04 м",,
Ветошь белая (арт. 01),,"179,7",100,"Количество: 10 шт
Вес: 10.11 кг
Объем: 0.036 м","Состав номенклатуры: простыни белые, котон белый, трикотаж белый. Хар-ки ткани: хлопчатобумажные безворсовые (с тонким ворсом) изделия. 
Состав ткани: 1.98% хлопока, 2% содержания синтетики.  2.НЕ допускаются ткани с содержанием ЛЬНА свыше 50%(полульняное изделие на ощупь мягкое). 
Описание товара: футболки, майки,белое постельное бельё, сорочки, рубашки, скатерти, униформа, халаты,полотенца, простыни на резинках, резинки не обрезаются. 
Допустимы размеры: допускаемые размеры 40*60, допустимы размеры только постельного белья 60*60,    60*70, 60*80.",
Ветошь трикотаж светлый (арт. 04),,"125,1",20,"Количество: 10 шт
Вес: 10.11 кг
Объем: 0.036 м",,
Ветошь трикотаж цветной (арт. 32),,105,1470,"Количество: 10 шт
Вес: 10.11 кг
Объем: 0.036 м","Трикотаж цветной (Первый сорт). Тонкие, средние, толстые трикотажные ткани (65% хб + 35% синтетики включая изделия из ваф.полотна ). Цветные тона.
Толстые трикотажные изделия (толстовки, спортивные костюмы, худи,), вафельная ткань, фабричный лоскут.",
Ветошь фланель цветная (арт. 06),,"198,4",40,"Количество: 10 шт
Вес: 10.11 кг
Объем: 0.036 м","Состав номенклатуры: фланель цветная. Хар-ки ткани: хлопчатобумажные изделия. Состав ткани: 95% хлопока, 5% содержания синтетики.
Описание товара: рубашки, пижамы, сорочки. Фланелевые пододеяльники, простыни, наволочки. Допустимы размеры: допускаемые размеры 40*60. ",
"Стрейч-пленка 17 микрон первичка, 1,8 кг нетто, ш. 500 мм.",,"388,6",293,"Количество: 6 шт
Вес: 12.16 кг
Объем: 0.033 м","ед. измерения – рол.
1 рол - 1.8кг нетто+/-0,05, 1,98 кг брутто ( со втулкой );
Плотность: 17 мкм (+/- 1мкм)
Ширина: 500мм (+/-1%)
Кол-во в коробке – 6 рол.
Тип – ручной.
В рулоне 230м.
500*17 мкм 1,8 кг , 1,98 брутто , 230 метров .",
"Стретч-плёнка вторичная 20мкрн., 1.8кг нетто, ш.500 мм., (ручная)",,"286,7",171,"Количество: 6 шт
Вес: 12.25 кг
Объем: 0.033 м","ед. измерения – рол
1 рол - 1.8кг нетто+/-0,05, 2кг брутто (со втулкой)
Плотность 20 мкрн
Кол-во в коробке – 6 рол.
Тип – ручной.
В рулоне 195м.",
